GEOID,NAME,KWH_TOT_SQ,THRMS_TOT_,TOT_POP,AVGBLDGAGE
170312105023008,Block 3008,3688.0,7676.0,108.0,98.0
170312229001020,Block 1020,1663.0,1663.0,74.0,116.0
170310626001027,Block 1027,0.0,500.0,131.0,110.0
170310621001000,Block 1000,13472.0,24261.0,75.0,114.6699982
170312106021015,Block 1015,9134.0,9134.0,30.0,79.0
170310503003004,Block 3004,20819.0,29841.0,7.0,53.25
170312227001002,Block 1002,19299.0,16800.0,9.0,106.6699982
170318322001022,Block 1022,10040.0,14375.0,62.0,118.0
170312518002015,Block 2015,28464.0,23718.0,55.0,107.6699982
170312512004016,Block 4016,22257.0,26347.0,64.0,95.6500015
170311911005003,Block 5003,28540.0,30660.0,233.0,85.7900009
170312512002003,Block 2003,5208.0,5208.0,70.0,103.0
170310818002046,Block 2046,74600.0,45200.0,169.0,49.6699982
170311908002008,Block 2008,4466.0,4466.0,62.0,82.0
170318330001029,Block 1029,0.0,0.0,0.0,0.0
170318371001007,Block 1007,12146.0,12146.0,53.0,21.3299999
170312424002005,Block 2005,10002.0,10002.0,56.0,96.0
170310603002019,Block 2019,2600.0,2600.0,29.0,49.0
170312312005000,Block 5000,0.0,0.0,0.0,0.0
170318326002024,Block 2024,12536.0,12536.0,0.0,0.0
170312315005002,Block 5002,7210.0,2650.0,58.0,111.0
170311902003006,Block 3006,14344.0,17302.0,125.0,85.5
170312205001007,Block 1007,14784.0,14784.0,45.0,99.8499985
170312216001003,Block 1003,22847.0,25745.0,11.0,85.5999985
170318381002007,Block 2007,0.0,0.0,0.0,0.0
170318323001045,Block 1045,0.0,0.0,0.0,0.0
170312428001006,Block 1006,1848.0,1848.0,49.0,0.0
170311911001014,Block 1014,0.0,0.0,0.0,0.0
170310512002013,Block 2013,7310.0,7310.0,137.0,12.0
170310506001026,Block 1026,17803.0,17803.0,32.0,103.2900009
170310615001013,Block 1013,2568.0,2568.0,124.0,99.0
170318324002008,Block 2008,5838.0,5838.0,21.0,119.0
170318391001031,Block 1031,0.0,0.0,0.0,0.0
170312109001018,Block 1018,0.0,0.0,0.0,0.0
170312004022013,Block 2013,0.0,0.0,0.0,0.0
170310621003002,Block 3002,21176.0,21176.0,103.0,79.75
170312422002018,Block 2018,8260.0,8260.0,33.0,58.0
170318366002001,Block 2001,13102.0,13102.0,63.0,0.0
170311606021007,Block 1007,18464.0,18464.0,85.0,99.5599976
170310714004004,Block 4004,11279.0,11279.0,33.0,0.0
170318325002023,Block 2023,46670.0,46670.0,59.0,21.0499992
170312411001017,Block 1017,4884.0,4884.0,123.0,121.0
170311612001019,Block 1019,2203.0,3883.0,83.0,96.6699982
170318366001021,Block 1021,19371.0,20897.0,92.0,95.2200012
170318381002012,Block 2012,1605658.0,1605658.0,1.0,16.0
170318422001061,Block 1061,0.0,0.0,0.0,0.0
170312215002005,Block 2005,0.0,0.0,0.0,0.0
170318312003011,Block 3011,25755.0,25755.0,112.0,101.1500015
170318378001044,Block 1044,0.0,0.0,0.0,0.0
170310713001004,Block 1004,7618.0,7618.0,134.0,37.0
170318423002008,Block 2008,0.0,0.0,0.0,0.0
170312002001009,Block 1009,29646.0,29646.0,155.0,92.5400009
170318309002021,Block 2021,3038.0,3038.0,14.0,110.5
170310818003014,Block 3014,261243.0,153143.0,9.0,35.5
170312216002017,Block 2017,6757.0,6757.0,68.0,111.5
170312603001023,Block 1023,6349.0,6349.0,48.0,0.0
170312203002008,Block 2008,4878.0,4878.0,75.0,84.0
170312510001032,Block 1032,2302.0,0.0,61.0,96.0
170311607002005,Block 2005,18180.0,20112.0,74.0,87.4000015
170310602002009,Block 2009,15060.0,15060.0,85.0,79.0
170312106023011,Block 3011,19900.0,14700.0,42.0,104.0
170312423002008,Block 2008,4137.0,4137.0,50.0,106.0
170318322003009,Block 3009,10743.0,15226.0,37.0,96.2900009
170310715006002,Block 6002,3200.0,3200.0,105.0,119.0
170310601003006,Block 3006,0.0,0.0,0.0,0.0
170312415001012,Block 1012,10063.0,10063.0,32.0,114.0
170318330001031,Block 1031,0.0,0.0,0.0,0.0
170310624001005,Block 1005,42029.0,38719.0,83.0,78.8799973
170310706002023,Block 2023,9860.0,2500.0,56.0,61.0
170318312002009,Block 2009,209322.0,209322.0,0.0,47.75
170311502005004,Block 5004,2484.0,3184.0,81.0,73.0
170312307003015,Block 3015,9751.0,9751.0,77.0,116.0
170310818001007,Block 1007,7143.0,10400.0,2.0,88.6699982
170311911004003,Block 4003,26865.0,26865.0,133.0,70.0
170310619013000,Block 3000,21206.0,21206.0,442.0,0.0
170312403001025,Block 1025,26061.0,26061.0,63.0,128.3000031
170310502003013,Block 3013,13228.0,7528.0,73.0,40.5
170312001002005,Block 2005,17229.0,17229.0,75.0,85.0599976
170311612002014,Block 2014,21904.0,16112.0,121.0,86.3300018
170310621003008,Block 3008,16958.0,16958.0,97.0,89.25
170311612001013,Block 1013,7286.0,7286.0,76.0,48.5
170318366001002,Block 1002,0.0,0.0,0.0,0.0
170311604002017,Block 2017,0.0,0.0,0.0,0.0
170312211002003,Block 2003,0.0,0.0,0.0,0.0
170312309003005,Block 3005,33123.0,35223.0,195.0,105.5500031
170310622002012,Block 2012,55750.0,55750.0,131.0,0.0
170312424002021,Block 2021,0.0,0.0,0.0,0.0
170318330002045,Block 2045,37370.0,0.0,22.0,87.0
170312214001013,Block 1013,18400.0,33100.0,0.0,7.5
170312403001016,Block 1016,1998.0,1998.0,24.0,132.0
170312435002048,Block 2048,0.0,0.0,0.0,0.0
170310707001011,Block 1011,2572.0,2572.0,74.0,114.0
170310510001029,Block 1029,0.0,0.0,0.0,0.0
170312315005017,Block 5017,3530.0,3530.0,19.0,0.0
170312518005009,Block 5009,17666.0,17666.0,37.0,106.7099991
170312302001015,Block 1015,13368.0,13368.0,132.0,0.0
170312106012002,Block 2002,14882.0,16634.0,103.0,106.25
170312502002007,Block 2007,4114.0,4114.0,81.0,87.5
170310622001000,Block 1000,22196.0,16276.0,28.0,102.5999985
170312003002010,Block 2010,30838.0,37572.0,134.0,89.7900009
170312209012006,Block 2006,2300.0,2300.0,166.0,115.0
170312309001022,Block 1022,29467.0,33535.0,120.0,45.3300018
170318324001018,Block 1018,7908.0,9636.0,61.0,119.0
170318310002022,Block 2022,13724.0,13724.0,41.0,64.75
170312303001003,Block 1003,19903.0,19903.0,72.0,82.1399994
170318366001010,Block 1010,0.0,0.0,0.0,0.0
170312602001017,Block 1017,4274.0,4274.0,22.0,0.0
170311607003018,Block 3018,5412.0,5412.0,63.0,0.0
170312804001038,Block 1038,13872.0,13872.0,0.0,2.0
170311609002022,Block 2022,23179.0,20584.0,24.0,99.9199982
170311606011003,Block 1003,7289.0,7289.0,129.0,24.0
170312214001011,Block 1011,4038.0,4038.0,121.0,94.0
170311909001031,Block 1031,0.0,7536.0,91.0,80.0
170312804001040,Block 1040,0.0,0.0,0.0,0.0
170312429002005,Block 2005,7107.0,8787.0,33.0,116.6699982
170312205003009,Block 3009,42633.0,46813.0,74.0,99.6900024
170312507002009,Block 2009,16391.0,20382.0,79.0,70.5
170318370002007,Block 2007,2328.0,0.0,9.0,120.0
170318422001081,Block 1081,0.0,0.0,0.0,0.0
170318330001046,Block 1046,0.0,0.0,0.0,0.0
170310627001009,Block 1009,90290.0,121690.0,90.0,92.0899963
170312414002007,Block 2007,10800.0,10800.0,150.0,126.0
170318421004006,Block 4006,6230.0,8783.0,84.0,97.0
170311510023005,Block 3005,15641.0,15641.0,155.0,85.0
170312216002033,Block 2033,24556.0,24556.0,70.0,107.1100006
170311604001028,Block 1028,7905.0,7905.0,62.0,84.0
170318323001085,Block 1085,2583.0,6787.0,42.0,116.75
170311510023001,Block 3001,7695.0,7695.0,347.0,25.5
170311606023001,Block 3001,0.0,0.0,0.0,0.0
170312101002019,Block 2019,0.0,0.0,0.0,0.0
170312411002008,Block 2008,1688.0,1688.0,161.0,4.0
170310619023005,Block 3005,0.0,0.0,0.0,0.0
170311508003007,Block 3007,10902.0,10902.0,73.0,63.6699982
170311607002012,Block 2012,15293.0,14493.0,53.0,103.5599976
170318423001086,Block 1086,0.0,0.0,0.0,0.0
170310621003009,Block 3009,106823.0,105500.0,285.0,42.6699982
170310611001005,Block 1005,40543.0,38373.0,223.0,36.5999985
170312215002007,Block 2007,1066.0,1066.0,43.0,0.0
170312411002014,Block 2014,3798.0,3798.0,104.0,113.0
