OBJECTID,GEOID,TotWorkers16over,SpeakSpanishWorkers,WorkAtHome,4pplusHH,16plusworkPoverty,16plusworkbelowpoverty,FID_,GEOID,NAME,GEOID_Data
21179,14000US17031060500,642,26,97,51,,,,17031060500,605,14000US17031060500
21180,14000US17031060800,3470,280,87,131,,,,17031060800,608,14000US17031060800
21181,14000US17031060900,4654,346,155,179,,,,17031060900,609,14000US17031060900
21182,14000US17031061000,1243,72,93,65,,,,17031061000,610,14000US17031061000
21183,14000US17031061100,915,8,65,19,,,,17031061100,611,14000US17031061100
21184,14000US17031061200,1624,21,117,142,,,,17031061200,612,14000US17031061200
21185,14000US17031061500,1497,113,74,69,,,,17031061500,615,14000US17031061500
21186,14000US17031061800,786,38,66,8,,,,17031061800,618,14000US17031061800
21187,14000US17031061901,2808,197,159,101,,,,17031061901,619.01,14000US17031061901
21188,14000US17031061902,2658,175,179,15,,,,17031061902,619.02,14000US17031061902
21189,14000US17031062000,2180,105,113,67,,,,17031062000,620,14000US17031062000
21190,14000US17031062100,2445,114,141,68,,,,17031062100,621,14000US17031062100
21191,14000US17031062200,2418,177,168,91,,,,17031062200,622,14000US17031062200
21192,14000US17031062300,1080,3,88,95,,,,17031062300,623,14000US17031062300
21193,14000US17031062400,1302,59,102,116,,,,17031062400,624,14000US17031062400
21194,14000US17031062500,944,0,90,33,,,,17031062500,625,14000US17031062500
21195,14000US17031062600,1427,75,112,189,,,,17031062600,626,14000US17031062600
21196,14000US17031062700,1782,135,190,186,,,,17031062700,627,14000US17031062700
21197,14000US17031062800,2478,138,194,159,,,,17031062800,628,14000US17031062800
21198,14000US17031062900,3368,72,349,163,,,,17031062900,629,14000US17031062900
21199,14000US17031063000,2572,216,69,46,,,,17031063000,630,14000US17031063000
21200,14000US17031063100,1821,70,111,83,,,,17031063100,631,14000US17031063100
21201,14000US17031063200,4002,122,160,128,,,,17031063200,632,14000US17031063200
21202,14000US17031063301,1850,136,47,10,,,,17031063301,633.01,14000US17031063301
21203,14000US17031063302,2933,125,196,97,,,,17031063302,633.02,14000US17031063302
21204,14000US17031063303,502,0,46,3,,,,17031063303,633.03,14000US17031063303
21205,14000US17031063400,1322,45,92,18,,,,17031063400,634,14000US17031063400
21206,14000US17031070101,2319,23,185,162,,,,17031070101,701.01,14000US17031070101
21207,14000US17031070102,1872,205,27,41,,,,17031070102,701.02,14000US17031070102
21208,14000US17031070103,1453,171,76,12,,,,17031070103,701.03,14000US17031070103
21209,14000US17031070200,2762,170,171,277,,,,17031070200,702,14000US17031070200
21210,14000US17031070300,2357,19,80,105,,,,17031070300,703,14000US17031070300
21211,14000US17031070400,1733,44,46,233,,,,17031070400,704,14000US17031070400
21212,14000US17031070500,1764,54,104,184,,,,17031070500,705,14000US17031070500
21213,14000US17031070600,1886,61,72,324,,,,17031070600,706,14000US17031070600
21214,14000US17031070700,2020,78,219,210,,,,17031070700,707,14000US17031070700
21215,14000US17031071000,2151,235,86,109,,,,17031071000,710,14000US17031071000
21216,14000US17031071100,1768,96,107,89,,,,17031071100,711,14000US17031071100
21217,14000US17031071200,1287,48,113,85,,,,17031071200,712,14000US17031071200
21218,14000US17031071300,2345,23,241,173,,,,17031071300,713,14000US17031071300
21219,14000US17031071400,2994,153,228,146,,,,17031071400,714,14000US17031071400
21220,14000US17031071500,3809,111,160,128,,,,17031071500,715,14000US17031071500
21221,14000US17031071600,1231,19,167,129,,,,17031071600,716,14000US17031071600
21222,14000US17031071700,1110,34,54,124,,,,17031071700,717,14000US17031071700
21223,14000US17031071800,1366,36,125,215,,,,17031071800,718,14000US17031071800
21224,14000US17031080100,3696,72,341,230,,,,17031080100,801,14000US17031080100
21225,14000US17031080201,1968,121,185,157,,,,17031080201,802.01,14000US17031080201
21226,14000US17031080202,2667,60,227,28,,,,17031080202,802.02,14000US17031080202
21227,14000US17031080300,3096,148,378,119,,,,17031080300,803,14000US17031080300
21228,14000US17031080400,1818,31,90,345,,,,17031080400,804,14000US17031080400
21229,14000US17031081000,4632,211,281,32,,,,17031081000,810,14000US17031081000
21230,14000US17031081100,2403,140,143,14,,,,17031081100,811,14000US17031081100
21231,14000US17031081201,2446,113,220,50,,,,17031081201,812.01,14000US17031081201
21232,14000US17031081202,1784,66,16,48,,,,17031081202,812.02,14000US17031081202
21233,14000US17031081300,2897,36,132,32,,,,17031081300,813,14000US17031081300
21234,14000US17031081401,1158,9,59,117,,,,17031081401,814.01,14000US17031081401
21235,14000US17031081402,2251,165,197,100,,,,17031081402,814.02,14000US17031081402
21236,14000US17031081403,4491,111,306,103,,,,17031081403,814.03,14000US17031081403
21237,14000US17031081500,2789,54,289,46,,,,17031081500,815,14000US17031081500
21238,14000US17031081600,2132,134,129,15,,,,17031081600,816,14000US17031081600
21239,14000US17031081700,2234,372,154,113,,,,17031081700,817,14000US17031081700
21240,14000US17031081800,5279,129,195,111,,,,17031081800,818,14000US17031081800
21241,14000US17031081900,559,11,43,86,,,,17031081900,819,14000US17031081900
21242,14000US17031090100,1633,144,111,293,,,,17031090100,901,14000US17031090100
21243,14000US17031090200,3593,72,124,547,,,,17031090200,902,14000US17031090200
21244,14000US17031090300,655,0,18,144,,,,17031090300,903,14000US17031090300
21245,14000US17031100100,3008,563,183,555,,,,17031100100,1001,14000US17031100100
21246,14000US17031100200,3679,511,142,648,,,,17031100200,1002,14000US17031100200
21247,14000US17031100300,2111,114,86,499,,,,17031100300,1003,14000US17031100300
21248,14000US17031100400,1444,84,59,240,,,,17031100400,1004,14000US17031100400
21249,14000US17031100500,2906,109,31,524,,,,17031100500,1005,14000US17031100500
21250,14000US17031100600,2034,323,25,383,,,,17031100600,1006,14000US17031100600
21251,14000US17031100700,2243,89,28,350,,,,17031100700,1007,14000US17031100700
21252,14000US17031110100,2739,405,51,525,,,,17031110100,1101,14000US17031110100
21253,14000US17031110200,1212,116,41,333,,,,17031110200,1102,14000US17031110200
21254,14000US17031110300,2344,220,83,427,,,,17031110300,1103,14000US17031110300
21255,14000US17031110400,2230,556,102,415,,,,17031110400,1104,14000US17031110400
21256,14000US17031110501,2210,231,27,572,,,,17031110501,1105.01,14000US17031110501
21257,14000US17031110502,1837,260,51,301,,,,17031110502,1105.02,14000US17031110502
21258,14000US17031120100,1870,55,111,438,,,,17031120100,1201,14000US17031120100
21259,14000US17031120200,1872,99,86,481,,,,17031120200,1202,14000US17031120200
21260,14000US17031120300,3128,196,122,689,,,,17031120300,1203,14000US17031120300
21261,14000US17031120400,2178,563,41,472,,,,17031120400,1204,14000US17031120400
21262,14000US17031130100,2220,223,162,546,,,,17031130100,1301,14000US17031130100
21263,14000US17031130200,872,84,35,141,,,,17031130200,1302,14000US17031130200
21264,14000US17031130300,2246,506,117,462,,,,17031130300,1303,14000US17031130300
21265,14000US17031140100,1749,849,71,401,,,,17031140100,1401,14000US17031140100
21266,14000US17031140200,3754,2024,43,573,,,,17031140200,1402,14000US17031140200
21267,14000US17031140301,1541,939,0,277,,,,17031140301,1403.01,14000US17031140301
21268,14000US17031140302,1979,687,137,449,,,,17031140302,1403.02,14000US17031140302
21269,14000US17031140400,3052,783,224,788,,,,17031140400,1404,14000US17031140400
21270,14000US17031140500,2120,1053,24,425,,,,17031140500,1405,14000US17031140500
21271,14000US17031140601,1419,913,139,345,,,,17031140601,1406.01,14000US17031140601
21272,14000US17031140602,2595,1775,35,694,,,,17031140602,1406.02,14000US17031140602
