OBJECTID,GEOID,PopHispanicLatino,FID_,GEOID,NAME,GEOID_Data
21213,14000US17031070600,187,,17031070600,706,14000US17031070600
21214,14000US17031070700,323,,17031070700,707,14000US17031070700
21215,14000US17031071000,454,,17031071000,710,14000US17031071000
21216,14000US17031071100,164,,17031071100,711,14000US17031071100
21217,14000US17031071200,142,,17031071200,712,14000US17031071200
21218,14000US17031071300,79,,17031071300,713,14000US17031071300
21219,14000US17031071400,241,,17031071400,714,14000US17031071400
21220,14000US17031071500,291,,17031071500,715,14000US17031071500
21221,14000US17031071600,48,,17031071600,716,14000US17031071600
21222,14000US17031071700,161,,17031071700,717,14000US17031071700
21223,14000US17031071800,146,,17031071800,718,14000US17031071800
21224,14000US17031080100,197,,17031080100,801,14000US17031080100
21225,14000US17031080201,109,,17031080201,802.01,14000US17031080201
21226,14000US17031080202,156,,17031080202,802.02,14000US17031080202
21227,14000US17031080300,274,,17031080300,803,14000US17031080300
21228,14000US17031080400,43,,17031080400,804,14000US17031080400
21229,14000US17031081000,469,,17031081000,810,14000US17031081000
21230,14000US17031081100,219,,17031081100,811,14000US17031081100
21231,14000US17031081201,197,,17031081201,812.01,14000US17031081201
21232,14000US17031081202,176,,17031081202,812.02,14000US17031081202
21233,14000US17031081300,127,,17031081300,813,14000US17031081300
21234,14000US17031081401,52,,17031081401,814.01,14000US17031081401
21235,14000US17031081402,205,,17031081402,814.02,14000US17031081402
21236,14000US17031081403,489,,17031081403,814.03,14000US17031081403
21237,14000US17031081500,117,,17031081500,815,14000US17031081500
21238,14000US17031081600,235,,17031081600,816,14000US17031081600
21239,14000US17031081700,608,,17031081700,817,14000US17031081700
21240,14000US17031081800,300,,17031081800,818,14000US17031081800
21241,14000US17031081900,70,,17031081900,819,14000US17031081900
21242,14000US17031090100,209,,17031090100,901,14000US17031090100
21243,14000US17031090200,280,,17031090200,902,14000US17031090200
21244,14000US17031090300,11,,17031090300,903,14000US17031090300
21245,14000US17031100100,1054,,17031100100,1001,14000US17031100100
21246,14000US17031100200,1261,,17031100200,1002,14000US17031100200
21247,14000US17031100300,618,,17031100300,1003,14000US17031100300
21248,14000US17031100400,300,,17031100400,1004,14000US17031100400
21249,14000US17031100500,588,,17031100500,1005,14000US17031100500
21250,14000US17031100600,686,,17031100600,1006,14000US17031100600
21251,14000US17031100700,396,,17031100700,1007,14000US17031100700
21252,14000US17031110100,1047,,17031110100,1101,14000US17031110100
21253,14000US17031110200,404,,17031110200,1102,14000US17031110200
21254,14000US17031110300,999,,17031110300,1103,14000US17031110300
21255,14000US17031110400,1296,,17031110400,1104,14000US17031110400
21256,14000US17031110501,818,,17031110501,1105.01,14000US17031110501
21257,14000US17031110502,779,,17031110502,1105.02,14000US17031110502
21258,14000US17031120100,213,,17031120100,1201,14000US17031120100
21259,14000US17031120200,335,,17031120200,1202,14000US17031120200
21260,14000US17031120300,621,,17031120300,1203,14000US17031120300
21261,14000US17031120400,1239,,17031120400,1204,14000US17031120400
21262,14000US17031130100,670,,17031130100,1301,14000US17031130100
21263,14000US17031130200,277,,17031130200,1302,14000US17031130200
21264,14000US17031130300,1015,,17031130300,1303,14000US17031130300
21265,14000US17031140100,2065,,17031140100,1401,14000US17031140100
21266,14000US17031140200,3782,,17031140200,1402,14000US17031140200
21267,14000US17031140301,1765,,17031140301,1403.01,14000US17031140301
21268,14000US17031140302,1787,,17031140302,1403.02,14000US17031140302
21269,14000US17031140400,1961,,17031140400,1404,14000US17031140400
21270,14000US17031140500,2393,,17031140500,1405,14000US17031140500
21271,14000US17031140601,2084,,17031140601,1406.01,14000US17031140601
21272,14000US17031140602,4143,,17031140602,1406.02,14000US17031140602
21273,14000US17031140701,1252,,17031140701,1407.01,14000US17031140701
21274,14000US17031140702,3948,,17031140702,1407.02,14000US17031140702
21275,14000US17031140800,3077,,17031140800,1408,14000US17031140800
21276,14000US17031150200,2454,,17031150200,1502,14000US17031150200
21277,14000US17031150300,1951,,17031150300,1503,14000US17031150300
21278,14000US17031150401,885,,17031150401,1504.01,14000US17031150401
21279,14000US17031150402,1741,,17031150402,1504.02,14000US17031150402
21280,14000US17031150501,1070,,17031150501,1505.01,14000US17031150501
21281,14000US17031150502,2273,,17031150502,1505.02,14000US17031150502
21282,14000US17031150600,1399,,17031150600,1506,14000US17031150600
21283,14000US17031150700,1917,,17031150700,1507,14000US17031150700
21284,14000US17031150800,2963,,17031150800,1508,14000US17031150800
21285,14000US17031151001,1732,,17031151001,1510.01,14000US17031151001
21286,14000US17031151002,3329,,17031151002,1510.02,14000US17031151002
21287,14000US17031151100,2220,,17031151100,1511,14000US17031151100
21288,14000US17031151200,1392,,17031151200,1512,14000US17031151200
21289,14000US17031160100,519,,17031160100,1601,14000US17031160100
21290,14000US17031160200,895,,17031160200,1602,14000US17031160200
21291,14000US17031160300,956,,17031160300,1603,14000US17031160300
21292,14000US17031160400,2374,,17031160400,1604,14000US17031160400
21293,14000US17031160501,2927,,17031160501,1605.01,14000US17031160501
21294,14000US17031160502,3270,,17031160502,1605.02,14000US17031160502
21295,14000US17031160601,1687,,17031160601,1606.01,14000US17031160601
21296,14000US17031160602,1868,,17031160602,1606.02,14000US17031160602
21297,14000US17031160700,2878,,17031160700,1607,14000US17031160700
21298,14000US17031160800,3189,,17031160800,1608,14000US17031160800
21299,14000US17031160900,676,,17031160900,1609,14000US17031160900
21300,14000US17031161000,408,,17031161000,1610,14000US17031161000
21301,14000US17031161100,357,,17031161100,1611,14000US17031161100
21302,14000US17031161200,1423,,17031161200,1612,14000US17031161200
21303,14000US17031161300,2022,,17031161300,1613,14000US17031161300
21304,14000US17031170100,242,,17031170100,1701,14000US17031170100
21305,14000US17031170200,1051,,17031170200,1702,14000US17031170200
21306,14000US17031170300,955,,17031170300,1703,14000US17031170300
21307,14000US17031170400,601,,17031170400,1704,14000US17031170400
21308,14000US17031170500,971,,17031170500,1705,14000US17031170500
21309,14000US17031170600,459,,17031170600,1706,14000US17031170600
21310,14000US17031170700,713,,17031170700,1707,14000US17031170700
21311,14000US17031170800,895,,17031170800,1708,14000US17031170800
21312,14000US17031170900,419,,17031170900,1709,14000US17031170900
21313,14000US17031171000,1582,,17031171000,1710,14000US17031171000
21314,14000US17031171100,1818,,17031171100,1711,14000US17031171100
21315,14000US17031180100,2492,,17031180100,1801,14000US17031180100
21316,14000US17031190100,2135,,17031190100,1901,14000US17031190100
21317,14000US17031190200,4391,,17031190200,1902,14000US17031190200
21318,14000US17031190300,3412,,17031190300,1903,14000US17031190300
21319,14000US17031190401,2563,,17031190401,1904.01,14000US17031190401
21320,14000US17031190402,3270,,17031190402,1904.02,14000US17031190402
21321,14000US17031190601,3608,,17031190601,1906.01,14000US17031190601
21322,14000US17031190602,3580,,17031190602,1906.02,14000US17031190602
21323,14000US17031190701,2279,,17031190701,1907.01,14000US17031190701
21324,14000US17031190702,3520,,17031190702,1907.02,14000US17031190702
21325,14000US17031190800,5706,,17031190800,1908,14000US17031190800
21326,14000US17031190900,1631,,17031190900,1909,14000US17031190900
21327,14000US17031191000,2560,,17031191000,1910,14000US17031191000
21328,14000US17031191100,6419,,17031191100,1911,14000US17031191100
21329,14000US17031191200,3619,,17031191200,1912,14000US17031191200
21330,14000US17031191301,4952,,17031191301,1913.01,14000US17031191301
21331,14000US17031191302,4185,,17031191302,1913.02,14000US17031191302
21332,14000US17031200100,3876,,17031200100,2001,14000US17031200100
21333,14000US17031200200,5042,,17031200200,2002,14000US17031200200
21334,14000US17031200300,2171,,17031200300,2003,14000US17031200300
21335,14000US17031200401,3583,,17031200401,2004.01,14000US17031200401
21336,14000US17031200402,3618,,17031200402,2004.02,14000US17031200402
21337,14000US17031210100,2098,,17031210100,2101,14000US17031210100
21338,14000US17031210400,2212,,17031210400,2104,14000US17031210400
21339,14000US17031210501,2936,,17031210501,2105.01,14000US17031210501
21340,14000US17031210502,3659,,17031210502,2105.02,14000US17031210502
21341,14000US17031210601,2411,,17031210601,2106.01,14000US17031210601
21342,14000US17031210602,3558,,17031210602,2106.02,14000US17031210602
21343,14000US17031210700,2897,,17031210700,2107,14000US17031210700
21344,14000US17031210800,819,,17031210800,2108,14000US17031210800
21345,14000US17031210900,1991,,17031210900,2109,14000US17031210900
21346,14000US17031220300,746,,17031220300,2203,14000US17031220300
21347,14000US17031220400,868,,17031220400,2204,14000US17031220400
21348,14000US17031220500,845,,17031220500,2205,14000US17031220500
21349,14000US17031220601,859,,17031220601,2206.01,14000US17031220601
21350,14000US17031220602,1753,,17031220602,2206.02,14000US17031220602
21351,14000US17031220701,2664,,17031220701,2207.01,14000US17031220701
21352,14000US17031220702,2995,,17031220702,2207.02,14000US17031220702
21353,14000US17031220901,2361,,17031220901,2209.01,14000US17031220901
21354,14000US17031220902,2352,,17031220902,2209.02,14000US17031220902
21355,14000US17031221000,2156,,17031221000,2210,14000US17031221000
21356,14000US17031221100,2330,,17031221100,2211,14000US17031221100
21357,14000US17031221200,950,,17031221200,2212,14000US17031221200
21358,14000US17031221300,1199,,17031221300,2213,14000US17031221300
21359,14000US17031221400,2058,,17031221400,2214,14000US17031221400
21360,14000US17031221500,1174,,17031221500,2215,14000US17031221500
21361,14000US17031221600,606,,17031221600,2216,14000US17031221600
21362,14000US17031222200,142,,17031222200,2222,14000US17031222200
21363,14000US17031222500,924,,17031222500,2225,14000US17031222500
21364,14000US17031222600,763,,17031222600,2226,14000US17031222600
21365,14000US17031222700,1686,,17031222700,2227,14000US17031222700
21366,14000US17031222800,615,,17031222800,2228,14000US17031222800
21367,14000US17031222900,1039,,17031222900,2229,14000US17031222900
21368,14000US17031230100,1015,,17031230100,2301,14000US17031230100
21369,14000US17031230200,1068,,17031230200,2302,14000US17031230200
21370,14000US17031230300,1020,,17031230300,2303,14000US17031230300
21371,14000US17031230400,2375,,17031230400,2304,14000US17031230400
21372,14000US17031230500,2893,,17031230500,2305,14000US17031230500
21373,14000US17031230600,5499,,17031230600,2306,14000US17031230600
21374,14000US17031230700,4103,,17031230700,2307,14000US17031230700
21375,14000US17031230800,801,,17031230800,2308,14000US17031230800
21376,14000US17031230900,2796,,17031230900,2309,14000US17031230900
21377,14000US17031231100,169,,17031231100,2311,14000US17031231100
21378,14000US17031231200,1241,,17031231200,2312,14000US17031231200
21379,14000US17031231500,149,,17031231500,2315,14000US17031231500
21380,14000US17031240200,398,,17031240200,2402,14000US17031240200
21381,14000US17031240300,75,,17031240300,2403,14000US17031240300
21382,14000US17031240500,169,,17031240500,2405,14000US17031240500
21383,14000US17031240600,368,,17031240600,2406,14000US17031240600
21384,14000US17031240700,1232,,17031240700,2407,14000US17031240700
21385,14000US17031240800,1144,,17031240800,2408,14000US17031240800
21386,14000US17031240900,517,,17031240900,2409,14000US17031240900
21387,14000US17031241000,1141,,17031241000,2410,14000US17031241000
21388,14000US17031241100,1676,,17031241100,2411,14000US17031241100
21389,14000US17031241200,302,,17031241200,2412,14000US17031241200
21390,14000US17031241300,166,,17031241300,2413,14000US17031241300
21391,14000US17031241400,808,,17031241400,2414,14000US17031241400
21392,14000US17031241500,393,,17031241500,2415,14000US17031241500
21393,14000US17031241600,925,,17031241600,2416,14000US17031241600
21394,14000US17031242000,1176,,17031242000,2420,14000US17031242000
21395,14000US17031242100,497,,17031242100,2421,14000US17031242100
21396,14000US17031242200,752,,17031242200,2422,14000US17031242200
21397,14000US17031242300,673,,17031242300,2423,14000US17031242300
21398,14000US17031242400,295,,17031242400,2424,14000US17031242400
21399,14000US17031242500,2123,,17031242500,2425,14000US17031242500
21400,14000US17031242600,2076,,17031242600,2426,14000US17031242600
21401,14000US17031242700,964,,17031242700,2427,14000US17031242700
21402,14000US17031242800,164,,17031242800,2428,14000US17031242800
21403,14000US17031242900,511,,17031242900,2429,14000US17031242900
21404,14000US17031243000,1111,,17031243000,2430,14000US17031243000
21405,14000US17031243100,1334,,17031243100,2431,14000US17031243100
21406,14000US17031243200,846,,17031243200,2432,14000US17031243200
21407,14000US17031243300,526,,17031243300,2433,14000US17031243300
