OBJECTID,GEOID,TotalPop,FID_,GEOID,NAME,GEOID_Data
21182,14000US17031061000,1757,,17031061000,610,14000US17031061000
21183,14000US17031061100,1135,,17031061100,611,14000US17031061100
21184,14000US17031061200,2214,,17031061200,612,14000US17031061200
21185,14000US17031061500,1896,,17031061500,615,14000US17031061500
21186,14000US17031061800,1066,,17031061800,618,14000US17031061800
21187,14000US17031061901,3773,,17031061901,619.01,14000US17031061901
21188,14000US17031061902,3992,,17031061902,619.02,14000US17031061902
21189,14000US17031062000,2650,,17031062000,620,14000US17031062000
21190,14000US17031062100,3215,,17031062100,621,14000US17031062100
21191,14000US17031062200,2941,,17031062200,622,14000US17031062200
21192,14000US17031062300,1638,,17031062300,623,14000US17031062300
21193,14000US17031062400,1819,,17031062400,624,14000US17031062400
21194,14000US17031062500,1335,,17031062500,625,14000US17031062500
21195,14000US17031062600,2330,,17031062600,626,14000US17031062600
21196,14000US17031062700,2665,,17031062700,627,14000US17031062700
21197,14000US17031062800,3561,,17031062800,628,14000US17031062800
21198,14000US17031062900,4284,,17031062900,629,14000US17031062900
21199,14000US17031063000,3393,,17031063000,630,14000US17031063000
21200,14000US17031063100,2390,,17031063100,631,14000US17031063100
21201,14000US17031063200,6344,,17031063200,632,14000US17031063200
21202,14000US17031063301,2484,,17031063301,633.01,14000US17031063301
21203,14000US17031063302,3830,,17031063302,633.02,14000US17031063302
21204,14000US17031063303,1224,,17031063303,633.03,14000US17031063303
21205,14000US17031063400,1943,,17031063400,634,14000US17031063400
21206,14000US17031070101,3963,,17031070101,701.01,14000US17031070101
21207,14000US17031070102,2328,,17031070102,701.02,14000US17031070102
21208,14000US17031070103,1850,,17031070103,701.03,14000US17031070103
21209,14000US17031070200,4124,,17031070200,702,14000US17031070200
21210,14000US17031070300,3303,,17031070300,703,14000US17031070300
21211,14000US17031070400,3275,,17031070400,704,14000US17031070400
21212,14000US17031070500,3037,,17031070500,705,14000US17031070500
21213,14000US17031070600,2905,,17031070600,706,14000US17031070600
21214,14000US17031070700,3116,,17031070700,707,14000US17031070700
21215,14000US17031071000,4032,,17031071000,710,14000US17031071000
21216,14000US17031071100,2880,,17031071100,711,14000US17031071100
21217,14000US17031071200,2055,,17031071200,712,14000US17031071200
21218,14000US17031071300,3604,,17031071300,713,14000US17031071300
21219,14000US17031071400,4571,,17031071400,714,14000US17031071400
21220,14000US17031071500,5487,,17031071500,715,14000US17031071500
21221,14000US17031071600,1849,,17031071600,716,14000US17031071600
21222,14000US17031071700,1785,,17031071700,717,14000US17031071700
21223,14000US17031071800,2643,,17031071800,718,14000US17031071800
21224,14000US17031080100,6112,,17031080100,801,14000US17031080100
21225,14000US17031080201,3420,,17031080201,802.01,14000US17031080201
21226,14000US17031080202,3386,,17031080202,802.02,14000US17031080202
21227,14000US17031080300,4322,,17031080300,803,14000US17031080300
