OBJECTID,GEOID,PopWhite,PopBlack,FID_,GEOID,NAME,GEOID_Data
21195,14000US17031062600,2095,12,,17031062600,626,14000US17031062600
21196,14000US17031062700,2394,29,,17031062700,627,14000US17031062700
21197,14000US17031062800,2998,235,,17031062800,628,14000US17031062800
21198,14000US17031062900,4082,15,,17031062900,629,14000US17031062900
21199,14000US17031063000,2993,101,,17031063000,630,14000US17031063000
21200,14000US17031063100,2029,73,,17031063100,631,14000US17031063100
21201,14000US17031063200,5084,334,,17031063200,632,14000US17031063200
21202,14000US17031063301,2015,154,,17031063301,633.01,14000US17031063301
21203,14000US17031063302,3418,37,,17031063302,633.02,14000US17031063302
21204,14000US17031063303,1164,19,,17031063303,633.03,14000US17031063303
21205,14000US17031063400,1683,120,,17031063400,634,14000US17031063400
21206,14000US17031070101,3500,56,,17031070101,701.01,14000US17031070101
21207,14000US17031070102,1880,154,,17031070102,701.02,14000US17031070102
21208,14000US17031070103,1680,14,,17031070103,701.03,14000US17031070103
21209,14000US17031070200,3555,219,,17031070200,702,14000US17031070200
21210,14000US17031070300,2632,41,,17031070300,703,14000US17031070300
21211,14000US17031070400,3005,160,,17031070400,704,14000US17031070400
21212,14000US17031070500,2671,127,,17031070500,705,14000US17031070500
21213,14000US17031070600,2775,9,,17031070600,706,14000US17031070600
21214,14000US17031070700,2413,96,,17031070700,707,14000US17031070700
21215,14000US17031071000,3305,174,,17031071000,710,14000US17031071000
21216,14000US17031071100,2541,78,,17031071100,711,14000US17031071100
21217,14000US17031071200,1796,93,,17031071200,712,14000US17031071200
21218,14000US17031071300,3243,106,,17031071300,713,14000US17031071300
21219,14000US17031071400,3910,132,,17031071400,714,14000US17031071400
21220,14000US17031071500,4840,346,,17031071500,715,14000US17031071500
21221,14000US17031071600,1624,60,,17031071600,716,14000US17031071600
21222,14000US17031071700,1433,218,,17031071700,717,14000US17031071700
21223,14000US17031071800,2203,282,,17031071800,718,14000US17031071800
21224,14000US17031080100,5538,52,,17031080100,801,14000US17031080100
21225,14000US17031080201,3085,81,,17031080201,802.01,14000US17031080201
21226,14000US17031080202,2810,192,,17031080202,802.02,14000US17031080202
21227,14000US17031080300,3603,327,,17031080300,803,14000US17031080300
21228,14000US17031080400,1545,2735,,17031080400,804,14000US17031080400
21229,14000US17031081000,5734,664,,17031081000,810,14000US17031081000
21230,14000US17031081100,2878,221,,17031081100,811,14000US17031081100
21231,14000US17031081201,3420,59,,17031081201,812.01,14000US17031081201
21232,14000US17031081202,2699,0,,17031081202,812.02,14000US17031081202
21233,14000US17031081300,4093,199,,17031081300,813,14000US17031081300
21234,14000US17031081401,1707,428,,17031081401,814.01,14000US17031081401
21235,14000US17031081402,3376,16,,17031081402,814.02,14000US17031081402
21236,14000US17031081403,4571,99,,17031081403,814.03,14000US17031081403
21237,14000US17031081500,3232,122,,17031081500,815,14000US17031081500
21238,14000US17031081600,2406,45,,17031081600,816,14000US17031081600
21239,14000US17031081700,2262,130,,17031081700,817,14000US17031081700
21240,14000US17031081800,5535,182,,17031081800,818,14000US17031081800
21241,14000US17031081900,383,650,,17031081900,819,14000US17031081900
21242,14000US17031090100,3076,0,,17031090100,901,14000US17031090100
21243,14000US17031090200,6260,0,,17031090200,902,14000US17031090200
21244,14000US17031090300,1349,0,,17031090300,903,14000US17031090300
21245,14000US17031100100,4951,59,,17031100100,1001,14000US17031100100
21246,14000US17031100200,5953,168,,17031100200,1002,14000US17031100200
21247,14000US17031100300,5654,70,,17031100300,1003,14000US17031100300
21248,14000US17031100400,2901,4,,17031100400,1004,14000US17031100400
21249,14000US17031100500,5132,5,,17031100500,1005,14000US17031100500
21250,14000US17031100600,4098,0,,17031100600,1006,14000US17031100600
21251,14000US17031100700,3987,25,,17031100700,1007,14000US17031100700
21252,14000US17031110100,4544,100,,17031110100,1101,14000US17031110100
21253,14000US17031110200,2501,1,,17031110200,1102,14000US17031110200
21254,14000US17031110300,4174,33,,17031110300,1103,14000US17031110300
21255,14000US17031110400,3776,32,,17031110400,1104,14000US17031110400
